B_id |G_id |R_id |Booking     |Checkin     |Checkout    |Total     |Paid      |Status
B001 |G001 |R001 |2025-09-15  |2025-11-11  |2025-11-21  |5000.00   |5000.00   |checked-out
B002 |G007 |R002 |2025-09-28  |2025-11-20  |2025-12-01  |7500.00   |7500.00   |checked-out
B003 |G010 |R020 |2025-10-18  |2025-12-03  |2025-12-05  |1400.00   |1400.00   |checked-out
B004 |G009 |R009 |2025-10-23  |2025-11-02  |YYYY-MM-DD  |1800.00   |100.00    |checked-in
B005 |G001 |R006 |2025-11-11  |2025-12-11  |YYYY-MM-DD  |1500.00   |500.00    |checked-in
B006 |G011 |R017 |2025-11-14  |2025-12-18  |2025-12-20  |1000.00   |1000.00   |checked-out
B007 |G006 |R011 |2025-12-01  |2026-01-02  |YYYY-MM-DD  |0.00      |200.00    |checked-in
B008 |G003 |R022 |2026-12-15  |2026-01-03  |2026-01-13  |9000.00   |9000.00   |checked-out
B009 |G005 |R005 |2025-12-29  |2026-01-09  |2026-01-16  |4200.00   |4200.00   |checked-out
B010 |G004 |R015 |2026-01-31  |YYYY-MM-DD  |YYYY-MM-DD  |1000.00   |600.00    |booked
B011 |G012 |R023 |2026-01-03  |YYYY-MM-DD  |YYYY-MM-DD  |14000     |0.00      |booked
B012 |G007 |R018 |2026-02-01  |YYYY-MM-DD  |YYYY-MM-DD  |4200      |0.00      |booked
B013 |G010 |R012 |2026-03-02  |2025-01-02  |YYYY-MM-DD  |6000.00   |200.00    |checked-in
B015 |G002 |R003 |2026-03-05  |YYYY-MM-DD  |YYYY-MM-DD  |2000.00   |0.00      |booked
B002 |G020 |R001 |2026-01-22  |YYYY-MM-DD  |YYYY-MM-DD  |200000    |0.00      |booked    
