Roomno   |Type            |Price     
R001     |Single Room     |500       
R002     |Single Room     |600       
R003     |Single Room     |500       
R004     |Single Room     |500       
R005     |Single Room     |500       
R006     |Single Room     |500       
R007     |Twin Room       |600       
R008     |Twin Room       |600       
R009     |Twin Room       |600       
R010     |Twin Room       |600       
R011     |Twin Room       |600       
R012     |Twin Room       |600       
R013     |Family Room     |700       
R014     |Family Room     |700       
R015     |Family Room     |700       
R016     |Family Room     |700       
R017     |Family Room     |700       
R018     |Family Room     |700       
R019     |Deluxe Room     |900       
R020     |Deluxe Room     |900       
R021     |Deluxe Room     |900       
R022     |Deluxe Room     |900       
R023     |Deluxe Room     |900       
R024     |Deluxe Room     |900       
R025     |Deluxe Room     |900       
R026     |Twin Room       |600       
